PART_SUB_ID,PART_ID
S25,31403418409
S25,31410229068
S25,29298122618
S25,27982502525
S25,31413824955
S25,15557524473
S25,12191700798
S25,5378259262
S25,11234530489
S25,15344478552
S09,27092356522
S09,30327090165
S09,31232385618
S09,80584455438
S09,20191252834
S09,26026238524
S43,24978272522
S43,21536439603
S43,26026584522
S43,29045452587
S04,22876934426
S04,82430972756
S04,30942762619
S04,21635877115
S04,30527579620
S05,30527260620
S05,15622974484
S05,31366567618
S05,2600057221
S05,8793945849
S05,5675625489
S06,25402701522
S06,13434124751
S06,25424637523
S06,5391724637
S06,29710011621
S07,31130814623
S07,26882569530
S07,30526896624
S07,30327845619
S07,22334086515
S08,25565747522
S08,11153885467
S08,12967068349
S08,2600085778
S08,26773148522
S08,28655964555
S26,19315199461
S26,21645607506
S26,24525573531
S26,10427916373
S26,27911002523
S27,30688344619
S27,20362783694
S27,5610925019
S27,12074691418
S27,12074008180
S28,21134600861
S28,22004568679
S28,31161384623
S28,21950842352
S28,31131225619
S01,25091557525
S01,26731766527
S01,7469286149
S01,22848336428
S01,14942798064
S01,12125849956
S14,30877825623
S14,11905946930
S14,83861286551
S14,29709550618
S14,83872832062
S14,8481321859
S15,5614392577
S15,83939755502
S15,22954573491
S15,23389838493
S15,7498416579
S33,28825539587
S33,22222194684
S33,17580795131
S33,14573265244
S33,6818231211
S41,5782988446
S41,11038095471
S41,25535032523
S41,27503320523
S41,11401087648
S42,23057725490
S42,29547456618
S42,2600011810
S42,26539564522
S42,31131225624
S42,9317577672
S45,27860613528
S45,22919804426
S45,20959239428
S45,30074807620
S45,12114773816
S13,29519677619
S13,30327122618
S13,14886751850
S13,31352585618
S13,81955718590
S13,21158787917
S13,28417039554
S13,82963722957
S13,21428304224
S13,81443020971
S35,29880795618
S35,7056120940
S35,21793063318
S35,30930082621
S35,31122075622
S47,5401885648
S47,9189323907
S47,7431723011
S47,83279153819
S47,2600024449
S17,22356331129
S17,18751415945
S17,27778415522
S17,80128170581
S17,14266774954
S18,14137176348
S18,14472194968
S18,28081890524
S18,22608574146
S18,31158504676
S21,22764265976
S21,82413640414
S21,26840532526
S21,27422235528
S21,82935609396
S22,30836460619
S22,83973938818
S22,21805423828
S22,83973937984
S22,11415677047
S22,83940412843
S02,18602520739
S02,9273983533
S02,4157790496
S02,10829344089
S02,10153242787
S23,24311452526
S23,15557523298
S23,14091660676
S23,24453865525
S23,28824490554
S29,21646284131
S29,8385993707
S29,25486379522
S29,4833531612
S29,30403134623
S31,26731419526
S31,22590590664
S31,29300383619
S31,24462314522
S31,23159043490
S31,21241106911
S34,17266377889
S34,14184334980
S34,20138646188
S34,17266331886
S34,22566448318
S34,28603885554
S13,31023801620
S44,13039502142
S44,31023801620
S44,16792774933
S44,21098750423
S44,8740412605
S13,16792774933
S37,6168162950
S37,19533607707
S37,83522117080
S37,12066803123
S37,6633584197
S38,25151660524
S38,28127891525
S38,14127352190
S38,27474323524
S38,26732042523
S38,21429651189
S38,23908362522
S38,22214792443
S38,24391257525
S38,27490359524
S38,21285684073
S03,8746854284
S03,21461414181
S03,27174937526
S03,5763649905
S03,12851880718
S03,28000165524
S16,29124648587
S16,30929398619
S16,83954991354
S16,31352509619
S16,83955058872
S32,25082786523
S32,17831177842
S32,20621914026
S32,20121476705
S40,29590351618
S40,30929618620
S40,12310102909
S40,26731935522
S40,30085828618
