PART_SUB_ID,PART_ID
S01,15005024613
S06,12061936096
S01,13945551239
S26,22509241668
S31,22590590664
S01,14760725899
S07,12804527157
S45,82212495037
S01,13165246468
S01,12139286236
S31,26731419526
S01,14077590839
S06,25402701522
S09,26026238524
S01,82894890779
S44,82839072147
S21,82935609396
S01,8461144790
S47,9189323907
S17,18751415945
S13,21428304224
S34,22566448318
S09,12249639438
S40,26731935522
S01,14981325825
S01,13038661039
S40,20021113743
S01,12173311983
S26,21988076790
S40,22177336485
S05,5675625489
S01,29603107619
S21,27422235528
S01,80097758981
S33,6818231211
S04,13683287065
S05,22933015458
S01,11053483505
S01,83127070320
S01,18171371779
S01,12562493972
S42,22680573785
S25,10933825800
S01,26731766527
S04,21635877115
S25,11234530489
S15,12804762939
S07,15317992363
S37,9210541788
S02,9273983533
S34,17266377889
S01,21894922092
S01,22235320858
S16,26196392527
S15,5614392577
S40,28574288557
S34,28603885554
S32,29450065618
S18,28081890524
S08,28655964555
S35,28759260557
S09,80584455438
S37,82194395299
S47,83101754286
S44,8740412605
S01,82169463002
S01,7539269153
S17,14266774954
S01,12562330415
S01,14075813592
S01,22397726239
S37,19533607707
S01,13222066705
S42,23299509490
S01,15005079779
S45,22919804426
S44,20812598411
S43,82246410475
S17,27436013522
S01,7469286149
S05,28679601556
S37,6168162950
S01,81054393345
S15,7498416579
S01,9349853480
S01,82014032113
S01,14256566885
S01,12916344408
S04,82430972756
S23,25185597522
S43,25185597522
S03,29297530621
S01,80662250879
S01,22780321803
S01,29192620623
S01,11147510381
S07,23075090491
S42,23057725490
S01,21558501685
S01,15402508728
S31,24462314522
S17,27778415522
S01,22849759426
S29,25486379522
S41,25535032523
S28,28400996558
S26,82389471883
S21,82413640414
S01,83106058955
S01,8895014293
S01,7441148520
S01,28401379561
S01,7509969473
S01,11113595568
S01,13934108320
S18,14137176348
S22,21436527732
S25,10156653112
S02,10153242787
S33,14573265244
S01,14942798064
S04,22906796429
S25,15557524473
S43,15558155637
S01,13452114802
S45,12114773816
S01,23978682530
S07,26882569530
S01,25991978522
S45,27860613528
S28,5701086779
S18,14472194968
S32,28027353524
S01,26698147523
S06,11218826916
S06,8861351935
S01,83366727705
S01,83299390831
S01,80146497357
S01,81416937104
S33,22222194684
S01,13766859092
S01,13829495628
S17,22356331129
S35,14327928128
S01,13827547577
S01,12804585983
S22,11415677047
S01,15005179773
S01,11053484957
S01,11107769544
S44,13039502142
S01,82961834343
S01,19375425056
S22,27212153522
S41,29503122619
S38,20950326494
S29,82896338429
S01,82026088598
S32,17501982616
S47,19868385189
S01,26409331522
S01,83354578869
S01,13648654827
S15,18033946247
S01,10023542539
S18,22608574146
S27,20362783694
S45,20959239428
S01,23298052494
S03,5763649905
S16,24226199523
S32,24226199523
S47,27999933522
S01,82649009778
S21,83110743914
S01,22436153468
S01,22345882670
S43,9004015026
S01,9317693217
S01,82262950953
S14,13829753512
S01,12548732544
S26,10427916373
S01,22848336428
S01,13057920955
S34,17266331886
S15,23389838493
S03,27174937526
S43,80137720714
S28,83485940089
S01,7538999933
S14,83510045182
S01,82234714055
S01,83481467983
S27,12074691418
S01,12540604482
S02,10829344089
S29,21646284131
S13,14886751850
S33,11546161472
S23,23344384491
S43,23344384491
S38,22214792443
S01,12125849956
S01,23878895523
S41,27104974525
S18,27790718522
S37,6633584197
S16,83440663737
S09,20191252834
S01,83362453406
S01,26963088523
S42,21040212617
S01,21302845912
S01,10153586214
S01,14239004785
S01,17565951268
S05,15622974484
S08,15836763357
S01,23257851490
S27,82286334232
S42,26539564522
S32,5765532401
S01,82531773225
S28,83485940090
S01,10834411318
S01,80736146544
S01,28759637555
S01,82494159058
S01,12530446485
S13,21158787917
S38,21429651189
S41,12425200509
S01,12374645451
S01,12413438381
S28,21950842352
S01,26100678522
S01,24525980524
S27,5610925019
S31,29298730618
S02,81505956270
S27,29299134621
S01,19766371050
S01,28160221523
S01,83251457586
S31,29300383619
S13,19840862751
S01,14980903915
S29,26271018522
S38,21285684073
S01,11038078138
S41,11038095471
S06,21635899953
S08,11153885467
S08,21722654843
S01,22848335426
S29,26238107522
S01,24475778531
S01,8465805356
S01,83371011155
S05,8332632934
S16,29124648587
S07,22334086515
S01,17294654530
S03,12851880718
S08,12967068349
S35,23343004491
S21,26840532526
S33,28825539587
S03,28789857554
S26,28886879586
S35,8439983476
S01,10856462740
S01,9618386993
S01,83353015046
S01,82401314153
S01,82328189718
S14,29450817618
S01,82249824129
S14,21151644889
S01,11345453313
S44,21729341148
S01,27923418525
S04,20849819189
S13,28417039554
S01,12374722542
S47,8442841073
S35,27964937522
S01,27177500527
S01,8861244331
S34,20138646188
S38,20349060734
S01,82250066492
S01,83353417133
S01,8910285947
S25,18340535128
S01,80056998631
S01,9349844521
S01,82013451072
